State,Percent Educational Attainment - Bachelor's degree or higher
Alabama,25.5
Alaska,30.2
Arizona,29.7
Arkansas,23.3
California,34.2
Colorado,41.7
Connecticut,39.6
Delaware,31.3
District of Columbia,60.4
Florida,30.4
Georgia,31.9
Hawaii,33.5
Idaho,27.7
Illinois,35.1
Indiana,27.1
Iowa,29
Kansas,33.8
Kentucky,24.8
Louisiana,24.3
Maine,31.5
Maryland,40.8
Massachusetts,44.5
Michigan,29.6
Minnesota,36.7
Mississippi,23.2
Missouri,29.5
Montana,31.7
Nebraska,32.4
Nevada,24.9
New Hampshire,36.8
New Jersey,40.8
New Mexico,27.7
New York,37.2
North Carolina,31.9
North Dakota,29.7
Ohio,29
Oklahoma,25.6
Oregon,34
Pennsylvania,31.8
Rhode Island,34.4
South Carolina,28.3
South Dakota,29.2
Tennessee,27.5
Texas,30.3
Utah,34.9
Vermont,38.7
Virginia,39.3
Washington,36.7
West Virginia,21.3
Wisconsin,30
Wyoming,26.9
