Row Labels,Sum of LA1and10,Sum of POP2010,Sum of LAPOP1_10,% POP in LA Tracts
Alabama,490 ,4779736 ,1158432 ,0.242
Alaska,88 ,710231 ,242611 ,0.342
Arizona,656 ,6392017 ,1675205 ,0.262
Arkansas,341 ,2915918 ,698770 ,0.240
California,1968 ,37253956 ,4987023 ,0.134
Colorado,488 ,5029196 ,1138378 ,0.226
Connecticut,391 ,3574097 ,1065240 ,0.298
Delaware,94 ,897934 ,228397 ,0.254
District of Columbia,9 ,601723 ,12749 ,0.021
Florida,1833 ,18801310 ,4831153 ,0.257
Georgia,982 ,9687653 ,2985409 ,0.308
Hawaii,124 ,1360301 ,370220 ,0.272
Idaho,157 ,1567582 ,412449 ,0.263
Illinois,994 ,12830632 ,2483870 ,0.194
Indiana,603 ,6483802 ,1641188 ,0.253
Iowa,348 ,3046355 ,652112 ,0.214
Kansas,373 ,2853118 ,752883 ,0.264
Kentucky,328 ,4339367 ,782537 ,0.180
Louisiana,494 ,4533372 ,1214231 ,0.268
Maine,86 ,1328361 ,184908 ,0.139
Maryland,496 ,5773552 ,1300047 ,0.225
Massachusetts,615 ,6547629 ,1837769 ,0.281
Michigan,979 ,9883640 ,2252119 ,0.228
Minnesota,619 ,5303925 ,1488290 ,0.281
Mississippi,348 ,2967297 ,764711 ,0.258
Missouri,638 ,5988927 ,1531378 ,0.256
Montana,137 ,989415 ,240683 ,0.243
Nebraska,238 ,1826341 ,389221 ,0.213
Nevada,239 ,2700551 ,649943 ,0.241
New Hampshire,122 ,1316470 ,378463 ,0.287
New Jersey,744 ,8791894 ,2084495 ,0.237
New Mexico,269 ,2059179 ,685386 ,0.333
New York,907 ,19378102 ,2249716 ,0.116
North Carolina,925 ,9535483 ,2247614 ,0.236
North Dakota,112 ,672591 ,197562 ,0.294
Ohio,1211 ,11536504 ,2920636 ,0.253
Oklahoma,466 ,3751351 ,993416 ,0.265
Oregon,294 ,3831074 ,656670 ,0.171
Pennsylvania,1065 ,12702379 ,2682895 ,0.211
Rhode Island,98 ,1052567 ,250339 ,0.238
South Carolina,494 ,4625364 ,1314986 ,0.284
South Dakota,139 ,814180 ,278972 ,0.343
Tennessee,658 ,6346105 ,1768503 ,0.279
Texas,2445 ,25145561 ,6807706 ,0.271
Utah,263 ,2763885 ,728134 ,0.263
Vermont,39 ,625741 ,78547 ,0.126
Virginia,727 ,8001024 ,1635288 ,0.204
Washington,617 ,6724540 ,1569714 ,0.233
West Virginia,174 ,1852994 ,392091 ,0.212
Wisconsin,523 ,5686986 ,1203978 ,0.212
Wyoming,79 ,563626 ,169726 ,0.301
Total US,27527 ,308745538 ,69266763 ,0.224
